Platform,Module/Page,Component,Scenario,Steps to Reproduce,Expected Result,Actual Result,Issue Type,Severity,Recommended Fix,Status
Customer Web,Booking summary /booking/summary,Address radio,WITHDRAWN - false positive; the radio is correctly labelled,1) Open the booking summary 2) Evaluate document.querySelector('input[type=radio][name=address]').labels,The radio is labelled with the address it selects,Originally reported as exposing the accessible name 'on'. Re-checked in the browser: labels.length is 1 and the label text reads 'E2E Home | Default | 123 E2E Street; E2E City 560001'; the implicit label association works and a screen reader announces the address. The original reading came from an audit tool surfacing the input's value attribute rather than the computed accessible name. No code change made,Accessibility,Low,No action - retained only so the withdrawn finding is not re-raised,"Withdrawn - re-checked, not a defect"
Customer Web,Service + category pages,Server-side rendering,Catalog pages return no server-rendered content,1) Request /services/ac-installation with a browser User-Agent 2) Search the HTML for the description text 'indoor and outdoor',Service name; description and price present in the server HTML for crawlers and link unfurlers,No catalog content in the server HTML; the page is client-rendered only. Same for /categories/ac. Static pages such as /terms DO server-render; so the capability exists but is not applied to catalog routes,SEO,High,Server-render or statically generate the category and service routes as the legal pages already are,Fixed - 9bfef2c (metadata was already server-rendered from d274268; name, description, price and cover image now render server-side too via PageBanner in the page.tsx Server Component shell, verified with next build && next start - curl of /services/ac-installation and /categories/ac now contain the description text with no JS execution)
Customer Web,Service + category pages,Document title and meta,Every catalog page shares one generic title,1) Open /categories/ac then /services/ac-installation 2) Read document.title,Page-specific titles as /terms already does with 'Terms & Conditions · Glavyx',Both return the site default 'Glavyx — Trusted home services; booked in minutes' with no per-page title or description,SEO,Medium,Add generateMetadata to the category and service segments,Fixed - d274268
Customer Web,Site-wide,robots.txt and sitemap.xml,Neither file is served,1) Request /robots.txt 2) Request /sitemap.xml,A robots.txt with crawl rules and a sitemap enumerating catalog URLs,Both return HTTP 404,SEO,Medium,Add app/robots.ts and app/sitemap.ts covering active categories and services,Fixed - d274268
Customer Web,Catalog data,Service slugs,Production catalog is serving E2E test fixtures,1) Open /categories/ac 2) Inspect the service links,Clean customer-facing slugs,Most slugs carry an -e2e test suffix visible in the URL: ac-repair-e2e; gas-refill-checkup-e2e; foam-jet-service-2-acs-e2e; foam-jet-ac-service-e2e. Local dev has only 1 such slug out of 26; so these came from a test-seeding run. /services/ac-installation is clean; so the catalog mixes real and test rows,Data,High,Re-slug or remove E2E fixture rows and add redirects for any slug already shared or indexed,Open
Admin Web,Dashboard /dashboard,Bookings KPI vs list,Booking count disagrees with the list under identical filters,1) Sign in to admin 2) Open /dashboard 3) Keep the default 2026-09-09 to 2026-09-09 window 4) Compare the Bookings KPI with the list caption,Both figures come from the same filtered query so they must agree,KPI tile reads 'Bookings 6' while the list beneath reads 'Showing up to 8 of 1' and renders one row,Functional,High,Resolve the tiles and the list from one filtered query or a shared count endpoint and add a regression test,Fixed - 926a9d5
Admin Web,Dashboard /dashboard,Revenue KPI,Revenue reconciles to no visible booking,1) Sign in to admin 2) Open /dashboard on the same window 3) Compare Revenue against the status mix and the listed totals,Revenue should reconcile to the bookings in the window,Revenue reads ₹195.92 while the status chart reads 'Expired 100%' and the only listed booking totals ₹3;489.92; cancellations and refunds are both zero,Functional,High,Define which booking states count toward Revenue; document the basis in the tile and reconcile against the same filtered set,Fixed - 926a9d5 (same root cause)
Admin Web,Dashboard /dashboard,List caption,Pagination caption exposes the page size,1) Sign in to admin 2) Open /dashboard 3) Read the caption under the bookings list,A caption such as 'Showing 1 of 1',Reads 'Showing up to 8 of 1',UI-UX,Low,Render the actual row count,Fixed - 926a9d5
Admin Web,Dashboard and Customers,Production data hygiene,Live production data contains E2E test records,1) Sign in to admin 2) Open /dashboard 3) Read the customer on the most recent booking,Production should hold only real customer records,The most recent production booking belongs to 'E2E Test Customer' with phone +919999999999 and is counted in dashboard metrics,Data,High,Purge or quarantine E2E fixtures from production and exclude them from analytics; block test-seeding against production,Open
Admin Web,Serviceability /serviceability/mappings,Service pincode mapping coverage,Flagship service shipped with no serviceable location,1) Sign in to admin 2) Open /serviceability/mappings 3) Filter the service/pincode table for AC installation,A launched service is enabled in the pincodes it is sold in,Before manual intervention AC installation had no active pincode mapping; the customer serviceability API returned isServiceable false for all five Jaipur localities; making the flagship AC service unbookable across the entire live city. It only became bookable once enabled by hand during this test,Data,Critical,Add a pre-launch check that every active service has at least one active pincode mapping; surface unmapped active services as a warning in admin,Fixed - 804be0a (unmapped-active-services warning endpoint)
Customer Web + Provider Web + Admin Web,Site-wide,HTTP response headers,Key security headers are absent on all three apps,1) curl -D - against each of the three production origins,Content-Security-Policy; X-Frame-Options; X-Content-Type-Options; Referrer-Policy and Permissions-Policy present; strictest on admin,Only Strict-Transport-Security is set on all three. The admin console holding customer PII and payment data is framable and has no CSP,Security,High,Set the standard security headers in next.config headers() for all three apps with frame-ancestors none on admin,Fixed - e05b380
Customer Web,Login /login,Account type switcher,Admin login is offered on the public customer site,1) Open /login on the customer domain 2) Read the Account type control,Customer sign-in only; staff authentication on the internal admin origin,The customer login exposes Customer / Admin / Provider account types; putting the admin authentication surface on the public consumer domain,Security,Medium,Remove the Admin option from the customer app and keep staff sign-in on the admin origin,Fixed - 2a6ec30
Admin Web,Booking detail /bookings/{id},Cancel booking,An unpaid booking cannot be cancelled by admin,1) Create a booking and leave it in Awaiting Payment 2) Open it in admin 3) Look at the Cancel booking panel,Admin can cancel a booking that will never be paid,The panel reads 'A booking in status Awaiting Payment can no longer be cancelled.' Combined with a failed payment this leaves the booking permanently stuck - it cannot be paid and cannot be cancelled; which is consistent with the dashboard showing a 100% Expired status mix,Functional,High,Allow admin cancellation from Awaiting Payment; or auto-expire unpaid bookings on a timer with a clear audit reason,Fixed - 04a9485
Admin Web,Booking detail /bookings/{id},Payment panel,Admin cannot record an offline or manual payment,1) Open any booking in Awaiting Payment 2) Look for a way to mark payment received,"An ops user can record a manual, offline or cash payment against the booking",The only money actions are Refund (Gateway or Wallet credit); there is no record-payment control; so a booking paid by any channel outside the gateway can never be moved forward,Missing Feature,High,Add a record-manual-payment action with method; reference and audit trail,Fixed - 1577b63
Admin Web,Booking detail /bookings/{id},Reschedule panel,Reschedule requires hand-typed internal UUIDs,1) Open any booking in admin 2) Look at the Reschedule booking panel,Pickers for locality; slot window and date as the customer app provides,The form asks for 'Locality ID*' and 'Slot window ID*' as free-text fields; an ops user must find and paste raw UUIDs to reschedule a booking,UI-UX,High,Replace the ID fields with the same locality and slot pickers the customer booking flow uses,Fixed - 2c5c3fd
Admin Web,Booking detail /bookings/{id},Status transition list,NOT REPRODUCIBLE against current code - deployed build appears stale,1) Open a booking in admin on production 2) Open the New status dropdown 3) Compare with GENERIC_STATUS_OPTIONS in the repo,Admin can drive a booking to a terminal Completed state,On production the dropdown ended at In Progress with no Completed. In the repository BookingStatus.Completed has been in GENERIC_STATUS_OPTIONS since the module was first added (commit 7e07554; 2026-07-31) and the options render unfiltered; so current code is correct and the deployed admin-web is behind main. No code change made - the action is to redeploy,Functional,Medium,Redeploy admin-web from main and re-check; no source change required,"Withdrawn - re-checked, not a defect"
Admin Web,Deployment,Deployed build currency,Production admin-web appears to be running a build behind main,1) Compare the production status dropdown with GENERIC_STATUS_OPTIONS in the repo,Production runs the current main build,A control that has been correct in source since 2026-07-31 renders an older shape in production; which means other fixes on main may also not be live and QA findings taken from production can misrepresent the codebase,Data,Medium,Confirm what commit each production app is built from and redeploy; consider surfacing the build SHA in the admin UI so this is checkable,Open
Customer Web,Booking payment /booking/payment/{id},Pay button retry,Retrying payment fails silently as a duplicate order,1) Open a booking in Awaiting Payment 2) Click Pay 3) Click Pay again,The existing pending order is resumed; or a clear message explains the state,The first click creates a sandbox payment order; every subsequent click returns HTTP 422 and the UI shows no error at all; the button appears inert. A fresh page load is required before payment can succeed,Functional,High,Resume the existing pending order instead of creating a new one; and surface API errors on the pay action,Fixed - 5960c0b
Admin Web,Customers and Bookings,Production identity data,The live customer account is a seeded test identity,1) Sign in to admin 2) Open the booking detail for any recent booking 3) Read the customer name and mobile,Production holds only real customer identities,The booking belongs to 'E2E Test Customer' with mobile +919999999999 and customer id 22222222-2222-2222-2222-222222222222 - a hand-written seed UUID; this identity transacts and is counted in dashboard metrics,Data,High,Remove seeded identities from production or clearly flag them as test accounts and exclude them from reporting,Open
Provider Web,Onboarding and Availability,Weekly availability defaults,A new provider has no availability until they set it by hand,1) Create a provider account 2) Check the Availability screen 3) Attempt to receive a job,A sensible default weekly availability is created at onboarding; or onboarding forces the provider to set it before activation,Availability starts empty; so the provider is invisible to matching and the customer sees 'No one is available for this slot' even though a provider exists in that pincode. Confirmed during this test - the booking only became payable after availability was enabled manually,Missing Feature,High,Seed a default weekly availability at provider creation or make it a required onboarding step before the provider goes live,Fixed - 373418b
Admin Web + Provider Web,Serviceability and provider skills,Service to pincode mapping,Service enablement is not derived from provider coverage,1) Add a provider with a skill covering a pincode 2) Check whether the matching service is serviceable in that pincode,Adding a provider skill for a pincode should make the corresponding service serviceable there; or admin should be prompted to enable it,Service to pincode serviceability is an entirely separate manual admin table; the two are not linked; so a service stays unbookable in a pincode that already has a qualified provider until somebody enables it by hand,Missing Feature,High,Derive serviceability from active provider coverage; or surface a prompt in admin when a pincode has providers but no active service mapping,"Fixed - 7f8ec29, a6866b4, eacc5d6 (auto-enable/disable)"
Admin Web,Booking detail /bookings/{id},Provider assignment gating,A paid Confirmed booking cannot be pushed to a provider,1) Pay for a booking so it reaches Confirmed 2) Open it in admin 3) Try to assign the listed provider,Ops can hand a paid booking to an available provider immediately,The panel states 'A provider can only be assigned once this booking reaches Preparing Service'; and auto-assignment only runs as the slot approaches; so a paid booking sits unassigned with no way for ops to push it; the provider job list stays empty,Functional,High,Allow manual assignment from Confirmed; or expose an explicit 'release to fulfilment now' action for ops,Fixed - 6d5f883
Admin Web,Booking detail /bookings/{id},Address snapshot,Free-text address fields accept junk with no validation,1) Open the booking detail 2) Read the captured address snapshot,Address lines contain meaningful values,"The stored address reads 'Home, 72, Kailash Vihar Main Rd, near Satkar Guest House, kuchh ni, JAIPUR, Rajasthan, 302033' - the segment 'kuchh ni' is filler text that passed validation and is now on a live booking a professional must navigate to",Validation,Medium,Validate address line inputs on the customer form and allow ops to correct an address snapshot,Fixed - b74bc4d (server + client-side validation on address line 1/2 added; ops-side address-snapshot editing in admin deferred - separate, larger feature)
Provider Web,Job detail /jobs/{id},Payout figure,Provider is shown the gross customer payment as their payout,1) Assign a job to a provider 2) Open the job detail in provider-web 3) Read 'You'll earn' and 'Your payout' against the customer price breakdown,Payout should be the provider's actual earning - service value less platform commission - and must exclude tax collected on behalf of government and the platform fee,Both read ₹897.92; which is the full customer total including ₹63.92 tax and the ₹35 platform fee; while the service line itself is ₹799.00. No commission is deducted anywhere; so the figure promises the provider more than the business can pay and implies zero take rate,Functional,Critical,Compute and display provider payout as service value less commission; show a payout breakdown; and never present customer tax or platform fee as provider earnings,Fixed - 980f757
Provider Web,Realtime hubs,SignalR authentication,JWT access token is passed in the WebSocket URL and logged to the console,1) Sign in as provider 2) Open a job detail 3) Read the browser console,The token is sent via a header or a short-lived single-use ticket and never appears in a URL or the console,The console prints the full connection URL including access_token=<JWT> for both the tracking and chat hubs; tokens in query strings are recorded in proxy logs; server access logs and browser history; and here also in the console,Security,High,Use SignalR access token negotiation that keeps the JWT out of the query string; or issue a short-lived single-use connection ticket; and stop logging connection URLs,Fixed - eda60aa (already used accessTokenFactory, SignalR's own token mechanism; added configureLogging(Warning) to stop the client's default Information-level logging of the token-bearing URL. Token still rides the handshake query string only where SignalR's negotiate protocol requires it - a single-use ticket would need new backend infra, not done)
Customer Web + Provider Web + Admin Web,Authentication,Token issuer and audience,JWT claims still carry the pre-rebrand identity,1) Sign in to provider-web 2) Decode the access token from the logged hub URL,Issuer and audience reflect the current brand,The token carries iss 'Nestly' and aud 'Nestly.Providers'; consistent with the NST- booking prefix and nestly.* storage keys; the rebrand has not reached the auth layer,UI-UX,Low,Migrate issuer and audience values with a validation window that accepts both during rollout,Fixed - 1798c73
Provider Web,Job detail /jobs/{id},Response deadline,Response window is extremely short and keeps counting during a failed accept,1) Assign a job in admin 2) Open it in provider-web and read ASSIGNED and RESPONSE DEADLINE,A response window long enough for a working professional to see and act on the offer,Assigned 23:35 with a response deadline of 23:50 - a 15 minute window; and because accept can fail silently on an expired session the provider can lose the job while believing they accepted it,Functional,High,Make the response window configurable and considerably longer; and pause or extend it when the accept call fails for a non-provider reason,Fixed - 3a3025b
Provider Web,Job detail /jobs/{id},Completion verification form,Submitting an empty verification gives no validation feedback,1) Drive a job to In progress 2) Scroll to Completion verification 3) Click Submit verification with no photo and no checklist item,An inline error naming what is missing - at least one photo and at least one checklist item,The form submits and nothing visible happens; no error and no field highlighting; the provider is left with the generic gate text 'Submit the completion verification below first' and no indication of which requirement failed,Validation,Medium,Validate the verification form client-side and show inline errors naming the missing photo and checklist requirements,Fixed - e002676 (button was already disabled; the missing part was saying why)
Provider Web,Job detail /jobs/{id},Response deadline display,Response deadline keeps showing after the job has been accepted and started,1) Accept a job and advance it through On the way; Arrived and In progress 2) Read the job details panel,The response deadline disappears once the job is accepted; it is no longer meaningful,"RESPONSE DEADLINE 9 Sept 2026, 23:50 remains displayed at every later stage including In progress; which is confusing since the offer window is long irrelevant by then",UI-UX,Low,Hide the response deadline once the assignment has been accepted,Fixed - e002676
Customer Web,Booking detail /bookings/{id},Status timeline,Internal engineering note is shown to the end customer,1) Sign in as customer 2) Open a booking detail 3) Read the Status timeline entry under Awaiting Payment,Customer-facing timeline entries describe the booking in customer language,The customer sees the internal note 'No payment gateway integrated yet - booking moves directly to awaiting payment.' - an engineering status message that tells customers the platform has no working payment integration,UI-UX,High,Separate internal transition reasons from customer-visible copy and show only customer-appropriate text in the customer timeline,Fixed - 7e595cf
Customer Web + Admin Web,Booking lifecycle,Cross-service data consistency,Verified working - customer provider and admin stay in sync through the lifecycle,1) Place and pay a booking as customer 2) Assign and advance it in admin 3) Drive Accept; On the way; Arrived; Start job and Mark complete in provider-web 4) Reload the customer booking detail,All three surfaces reflect the same status; provider; slot; address and price,Confirmed working end to end: booking NST-260909-MMEF5 ran Booking Started - Awaiting Payment - Confirmed - Professional Assigned - Accepted - On the way - Arrived - In progress - Completed; customer showed 'Service in Progress' with professional Mukesh confirmed and Track live; price ₹897.92 and slot identical across all three apps at every step. Recorded as a passing check not a defect,Functional,Low,No action - retain as the primary end-to-end regression scenario for future releases,Passing check - no action
Provider Web,Job detail /jobs/{id},Completion verification gate,Verified working - completion is correctly gated behind photo and checklist proof,1) Drive a job to In progress 2) Attempt Mark complete before submitting verification 3) Upload a photo and add a checklist item then submit and mark complete,Completion requires evidence of work done,Confirmed working: Mark complete is blocked with 'Submit the completion verification below first' until photos and a checklist are submitted; after submitting the job moves to Completed. Good control - recorded as a passing check not a defect,Functional,Low,No action - retain as a regression scenario; only the missing inline validation message on empty submit needs fixing,Passing check - no action
Admin Web,Proposed new page,Fulfilment control room,No single operational view of what is happening today,1) Sign in to admin 2) Try to answer 'which jobs are running right now and which are at risk' from the existing pages,A live board of today's jobs grouped by state - unassigned; assigned; en route; in progress; overdue - refreshing without a reload,Only /dashboard exists and it is a date-filtered aggregate of counts and a truncated list; there is no operational board; during this test the only way to see the job's real state was to open the booking detail and read the timeline,Missing Feature,High,Add a fulfilment control room as the default admin landing page with live state columns and drill-through to each booking,Built - 32b22d7 (/fulfilment)
Admin Web,Proposed new page,Unassigned and at-risk queue,Paid bookings with no provider are not surfaced anywhere,1) Pay for a booking so it reaches Confirmed 2) Look for a list of paid bookings that have no provider assigned,A queue of paid bookings without a live assignment; sorted by how close the slot is; with a one-click assign action,No such view exists. The booking created in this test sat Confirmed with no provider and would have been invisible to ops until its slot approached; it was only found by opening the booking directly,Missing Feature,High,Add an unassigned and at-risk queue driven by slot proximity and assignment status; and allow assignment directly from it,Built - 28b529d (/bookings/unassigned-at-risk)
Admin Web,Proposed new page,Coverage gap map,Nothing shows where the marketplace cannot actually fulfil,1) Open /serviceability/mappings 2) Try to find pincodes that have providers but no active service mapping or vice versa,A pincode by service grid flagging: has providers but no serviceability mapping; has mapping but no active provider; no coverage at all,The page lists 586 flat mapping rows with no gap analysis. This is exactly the blind spot that left AC installation unbookable across all of Jaipur until it was enabled by hand during this test,Missing Feature,High,Add a coverage gap view that cross-references active services; serviceability mappings and live provider coverage per pincode,Built - 8ecf86f (/serviceability/coverage-gaps)
Admin Web,Proposed new page,Payment reconciliation,No way to see stuck or orphaned payments,1) Open /payments 2) Try to find bookings whose payment order was created but never completed,A reconciliation view of gateway orders against bookings; showing pending; failed and orphaned orders and letting ops resolve them,During this test a payment order was created and left pending while the booking stayed Awaiting Payment; nothing in admin surfaces that state. Combined with the inability to cancel an Awaiting Payment booking such records become permanently stuck,Missing Feature,High,Add a payment reconciliation page listing gateway orders versus booking status with actions to retry; void or reconcile,Built - 66592b0 (/payments/reconciliation)
Admin Web,Proposed new page,Provider performance,No data to judge or rank providers,1) Open /providers 2) Look for acceptance rate; response time; completion rate or ratings,Per-provider metrics: offers received; acceptance rate; average response time; completion rate; cancellations and average rating,No performance metrics exist. The assignment dropdown offers only 'this pincode' and 'N jobs today'; which is not enough to choose between providers or to build fair auto-assignment,Missing Feature,Medium,Add a provider performance page and expose the key metrics inline in the assignment picker,Built - eae52b4 (/providers/performance)
Admin Web,Proposed new page,Catalog health,Incomplete catalog entries are not detectable,1) Open /catalog 2) Try to find active services missing a price; an image or a serviceability mapping,A catalog health view listing active services that are missing price; media; serviceability mapping or that have never been booked,No such check exists; which is how a flagship service reached production with no serviceable pincode and how E2E fixture rows with -e2e slugs remain live in the customer catalog,Missing Feature,High,Add a catalog health page with pre-publish checks that block or warn when an active service is incomplete,Built - 7f1a9b3 (/catalog/health)
Provider Web,Proposed new page,Today / Now screen,App opens to a generic list rather than the job at hand,1) Sign in as provider 2) Observe the landing screen,A Today view showing the next or current job with address; navigation link; customer contact and a single primary action to advance status,The app lands on /jobs - a filterable list with status and date filters. On a phone mid-shift the professional must filter and drill in to reach the job they are actually doing,Missing Feature,High,Make a Today / Now screen the default landing route with the active job and its next action front and centre,Built - 9c3a2fb (/today)
Provider Web,Proposed new page,Job offers with countdown,New offers have no dedicated surface,1) Assign a job to a provider 2) Look for an offers screen or notification surface in provider-web,A dedicated offers view listing pending assignments with a visible countdown to the response deadline and accept or decline actions,Offers appear only as an Assigned row inside the general jobs list; the 15 minute response deadline is visible only after opening the job. With no push registration a provider can miss an offer entirely,Missing Feature,High,Add an offers screen with live countdowns; and pair it with push notification registration so offers reach the provider off-app,Built - 51e15bd (/offers)
Provider Web,Proposed new page,Onboarding checklist and go-live status,Nothing tells a provider why they are not receiving work,1) Create a provider account without setting weekly availability 2) Observe whether the app explains that no jobs will arrive,A checklist covering KYC; skills; service areas; availability and bank details; with an explicit banner naming what is blocking go-live,The provider appears fully signed in and the jobs list simply reads 'No jobs yet'. In this test the account was invisible to matching purely because weekly availability was empty; and nothing in the UI said so,Missing Feature,High,Add an onboarding checklist with a persistent not-yet-live banner naming the specific missing prerequisite,Built - 395c6e0 (/profile checklist + banner)
Provider Web,Proposed new page,Earnings detail and payouts,Earnings nav exists but there is no payout ledger,1) Sign in as provider 2) Open /earnings,A per-job ledger showing gross; platform commission; tax treatment; net payable; plus payout schedule and payout status,A nav entry exists but there is no reconciled ledger; and the job screen states a payout of ₹897.92 which is the customer gross including tax and platform fee. A provider cannot tell what they will actually be paid or when,Missing Feature,High,Build an earnings ledger with a correct commission and tax breakdown per job and a payout status timeline,Built - 8e9498a (/earnings job breakdown + payout status)
Provider Web,Proposed new page,Ratings and feedback,Providers cannot see how they are rated,1) Sign in as provider 2) Look for a rating or customer feedback screen,The provider's average rating; recent reviews and any moderation flags against them,No rating or feedback surface exists in provider-web; ratings are captured from customers and used by the business but never shown back to the professional they describe,Missing Feature,Medium,Add a ratings and feedback screen showing the running average and recent customer reviews,"Built - 085e312, 0961fd0 (/ratings)"
Provider Web,Proposed new page,Calendar and week view,Availability and committed jobs are shown in separate places,1) Open /availability then /jobs 2) Try to see committed jobs against declared availability in one view,One calendar showing declared availability alongside committed jobs; so gaps and clashes are obvious,Availability and jobs are separate screens with no combined view; making it hard for a professional to manage their week or spot a double booking before it happens,Missing Feature,Medium,Add a week calendar overlaying accepted jobs on declared availability with conflict highlighting,Built - 66f3735 (/calendar)
