ID,Phase,Module,Task,Description,Type,Priority,Dependencies,Status
T083,Phase 5 - Post-Booking,Reschedule,Reschedule API,Get eligible slots + confirm reschedule with history record (SRS 24.6),Backend,P0,T082,Todo
T084,Phase 5 - Post-Booking,Support,Experience schema,"Tables: review, support_ticket, support_ticket_comment, notification_event (SRS 23.5)",Database,P0,T009,Todo
T085,Phase 5 - Post-Booking,Reviews,Review submission API,"Completed-booking eligibility, one primary review per booking, optional time window (SRS 11.16, 17)",Backend,P0,"T084,T060",Todo
T086,Phase 5 - Post-Booking,Support,Support ticket APIs,"Create ticket (categories per SRS 16.1), list, detail; booking-linked and generic tickets (SRS 11.18)",Backend,P0,T084,Todo
T087,Phase 5 - Post-Booking,Notifications,Notification framework,"Template rendering with variables, channel dispatch (SMS/email), delivery event log (SRS 19)",Backend,P0,"T031,T084,T018",Todo
T088,Phase 5 - Post-Booking,Notifications,Notification trigger wiring,"Events: welcome, booking confirmed, payment success/failure, cancellation, reschedule, refund, ticket updates (SRS 19.1)",Backend,P0,"T087,T081,T083",Todo
T089,Phase 5 - Post-Booking,Frontend,Cancellation flow UI,"Policy display, confirmation, refund outcome (SRS 11.14.3)",Frontend,P0,"T065,T081",Todo
T090,Phase 5 - Post-Booking,Frontend,Reschedule flow UI,Eligible slot picker + confirmation with immediate detail update (SRS 11.15.3),Frontend,P0,"T065,T083",Todo
T091,Phase 5 - Post-Booking,Frontend,Review submission UI,Rating + review form for completed bookings (SRS 25.1),Frontend,P1,"T065,T085",Todo
T092,Phase 5 - Post-Booking,Frontend,Support ticket UI,Raise issue + ticket status view (SRS 11.18),Frontend,P1,"T065,T086",Todo
T093,Phase 5 - Post-Booking,QA,Post-booking test suite,"Cancellation/reschedule eligibility matrices, notification event coverage",QA,P0,"T081,T083,T088",Todo
T094,Phase 6 - Admin Panel,AdminIdentity,Admin RBAC schema,"Tables: admin_user, admin_role, admin_permission, role_permission_mapping (SRS 23.6)",Database,P0,T009,Todo
T095,Phase 6 - Admin Panel,AdminIdentity,Admin authentication,"Login, strong password policy, throttling, lockout, session timeout, MFA hook, login audit (SRS 12.1)",Backend,P0,"T094,T020",Todo
T096,Phase 6 - Admin Panel,AdminIdentity,RBAC enforcement engine,"Module+action permission matrix (View/Create/Edit/Delete/Export/Approve/Refund/Cancel/Reschedule/Publish/Configure) enforced via policies (SRS 12.2.3, 20)",Backend,P0,T095,Todo
T097,Phase 6 - Admin Panel,AdminIdentity,Admin user management APIs,"CRUD, role assignment, activate/deactivate, password reset (SRS 12.2.1)",Backend,P0,T096,Todo
T098,Phase 6 - Admin Panel,Frontend,Admin app shell,"Login screen, authenticated layout, nav by permission, session handling in admin-web (SRS 25.2)",Frontend,P0,"T016,T095",Todo
T099,Phase 6 - Admin Panel,Dashboard,Dashboard KPIs,Bookings/revenue/cancellations/refunds/tickets widgets with date-city-category filters; API + UI (SRS 12.3),Backend,P1,"T096,T060",Todo
T100,Phase 6 - Admin Panel,Dashboard,Dashboard UI,KPI widgets and filters in admin-web,Frontend,P1,"T098,T099",Todo
T101,Phase 6 - Admin Panel,CustomerMgmt,Customer management APIs,"Search/filter, 360 detail (bookings, wallet, coupons, tickets), block/unblock, notes (SRS 12.4)",Backend,P0,"T096,T028",Todo
T102,Phase 6 - Admin Panel,CustomerMgmt,Customer management UI,Customer list and detail screens with authorized actions,Frontend,P0,"T098,T101",Todo
T103,Phase 6 - Admin Panel,Catalog,Category management APIs,"CRUD, ordering, media, SEO fields, activation with audit (SRS 12.5)",Backend,P0,"T096,T040,T020",Todo
T104,Phase 6 - Admin Panel,Catalog,Category management UI,Category list/create/edit screens,Frontend,P0,"T098,T103",Todo
T105,Phase 6 - Admin Panel,Catalog,Service management APIs,Service/package CRUD with full field set and service-level flags (SRS 12.6),Backend,P0,T103,Todo
T106,Phase 6 - Admin Panel,Catalog,Service management UI,Service list/create/edit screens,Frontend,P0,"T104,T105",Todo
T107,Phase 6 - Admin Panel,Catalog,Add-on management APIs,Add-on CRUD + service mapping (SRS 12.7),Backend,P1,T105,Todo
T108,Phase 6 - Admin Panel,Catalog,Add-on management UI,Add-on list/create/edit screens,Frontend,P1,"T106,T107",Todo
T109,Phase 6 - Admin Panel,Pricing,Pricing management APIs,"Base/add-on/city/promotional pricing, taxes, fees, effective dates, price change audit (SRS 12.8)",Backend,P0,"T096,T047,T020",Todo
T110,Phase 6 - Admin Panel,Pricing,Pricing management UI,Pricing list/edit screens,Frontend,P0,"T098,T109",Todo
T111,Phase 6 - Admin Panel,Serviceability,Serviceability management APIs,Geography master CRUD + category/service serviceability mapping + suspensions (SRS 12.9),Backend,P0,"T096,T043",Todo
T112,Phase 6 - Admin Panel,Serviceability,Serviceability management UI,Geography and mapping configuration screens,Frontend,P0,"T098,T111",Todo
T113,Phase 6 - Admin Panel,Slots,Slot configuration APIs,"Slot windows, blackouts, cutoffs, capacity, availability overrides (SRS 12.10)",Backend,P0,"T096,T045",Todo
T114,Phase 6 - Admin Panel,Slots,Slot configuration UI,Slot rule and override screens,Frontend,P0,"T098,T113",Todo
T115,Phase 6 - Admin Panel,BookingMgmt,Booking management APIs,"Filterable list, full detail (snapshots, timeline, refunds, tickets, notes), status updates, resend confirmation (SRS 12.11)",Backend,P0,"T096,T060",Todo
T116,Phase 6 - Admin Panel,BookingMgmt,Booking management UI,Booking list and detail screens with authorized actions,Frontend,P0,"T098,T115",Todo
T117,Phase 6 - Admin Panel,BookingMgmt,Admin cancel/reschedule/refund operations,"Admin-initiated cancellation, reschedule, full/partial refund with permission checks and audit (SRS 12.11.3, 12.13.2)",Backend,P0,"T115,T080,T082,T075",Todo
T118,Phase 6 - Admin Panel,Coupons,Coupon management APIs,Coupon CRUD with all rule dimensions + redemption reporting (SRS 12.12),Backend,P1,"T096,T072",Todo
T119,Phase 6 - Admin Panel,Coupons,Coupon management UI,Coupon list/create/edit + redemption stats screens,Frontend,P1,"T098,T118",Todo
T120,Phase 6 - Admin Panel,Support,Support ticket management,"Ticket workflow: assign, respond, escalate, resolve, link booking actions; API + UI (SRS 12.14, 16.2)",Backend,P0,"T096,T086",Todo
T121,Phase 6 - Admin Panel,Support,Support ticket UI,Ticket list/detail workflow screens,Frontend,P0,"T098,T120",Todo
T122,Phase 6 - Admin Panel,Reviews,Review moderation,Hide/unhide/flag/export reviews retaining originals for audit; API + UI (SRS 12.15 and 17.2),Backend,P1,"T096,T085",Todo
T123,Phase 6 - Admin Panel,Reviews,Review moderation UI,Moderation screen with filters,Frontend,P1,"T098,T122",Todo
T124,Phase 6 - Admin Panel,CMS,CMS schema and APIs,"Tables + CRUD: cms_page, banner, faq with draft/publish, scheduling, media, placement (SRS 12.16, 18)",Backend,P1,"T096,T009",Todo
T125,Phase 6 - Admin Panel,CMS,CMS management UI,"Banner, page, FAQ management screens",Frontend,P1,"T098,T124",Todo
T126,Phase 6 - Admin Panel,Notifications,Notification template management,"Channel-specific templates with variables, preview/test, change audit; API + UI (SRS 12.17)",Backend,P1,"T096,T087",Todo
T127,Phase 6 - Admin Panel,Notifications,Notification template UI,Template editor and preview screens,Frontend,P1,"T098,T126",Todo
T128,Phase 6 - Admin Panel,Reports,Reports and exports,"Standard reports (booking, revenue, refund, coupon, customer, category, city, support, review) + permission-gated async CSV/Excel export (SRS 12.18, 27)",Backend,P1,"T096,T115,T018",Todo
T129,Phase 6 - Admin Panel,Reports,Reports UI,Report screens with filters and export actions,Frontend,P1,"T098,T128",Todo
T130,Phase 6 - Admin Panel,Audit,Audit log viewer,Filterable audit trail screen + API (SRS 12.19 audit scope per SRS 21),Backend,P1,"T096,T020",Todo
T131,Phase 6 - Admin Panel,Settings,System configuration,"Config/feature-flag management: booking, slot, cancellation, reschedule, tax, wallet, coupon settings; API + UI (SRS 12.19)",Backend,P1,T096,Todo
T132,Phase 6 - Admin Panel,QA,Admin and RBAC test suite,"Permission matrix coverage, admin workflows, audit assertions",QA,P0,"T097,T117",Todo
T133,Phase 7 - Hardening & Launch,Security,Application security review,"OWASP pass: injection, XSS, CSRF, IDOR, broken access control, payment callback abuse, OTP brute force (SRS 28.3)",QA,P0,"T079,T132",Todo
T134,Phase 7 - Hardening & Launch,Security,Rate limiting rollout,Rate limits on auth/OTP/search/payment endpoints (SRS 28.1),Backend,P0,T133,Todo
T135,Phase 7 - Hardening & Launch,Performance,Load and performance testing,"Catalog browse, checkout, concurrent slot booking under promotion-level traffic (SRS 29.1-29.2)",QA,P0,T066,Todo
T136,Phase 7 - Hardening & Launch,Performance,Query optimization pass,"Execution plan review, index tuning, pagination audits on hot paths (DATABASE.md)",Database,P1,T135,Todo
T137,Phase 7 - Hardening & Launch,Observability,Metrics and alerting,"Metrics export + alerts for payment, booking, notification failures (SRS 29.6, DEVOPS.md)",DevOps,P0,"T010,T088",Todo
T138,Phase 7 - Hardening & Launch,DevOps,CD pipeline and environments,"Staging auto-deploy from develop, production deploy from main with approval, migration step, rollback (DEVOPS.md)",DevOps,P0,T014,Todo
T139,Phase 7 - Hardening & Launch,DevOps,Backup and restore procedure,Automated PostgreSQL backups + documented tested restore drill,DevOps,P0,T138,Todo
T140,Phase 7 - Hardening & Launch,QA,End-to-end regression suite,Automated E2E: discovery -> booking -> payment -> cancel/reschedule -> refund -> review (TESTING.md pyramid),QA,P0,"T093,T132",Todo
T141,Phase 7 - Hardening & Launch,QA,UAT execution,Business acceptance against SRS 33 acceptance criteria,QA,P0,T140,Todo
T142,Phase 7 - Hardening & Launch,Docs,Deployment runbook,"Deploy, rollback, incident response, on-call basics",Docs,P1,T138,Todo
T143,Phase 7 - Hardening & Launch,Product,Resolve SRS open decisions,"Close SRS 34 items (cart model, COD, slot capacity, wallet phase, refund visibility, coupon stacking, tax display, reschedule fees, multilingual)",Docs,P0,,Todo
T144,Phase 8 - Provider (Deferred),Provider,Resolve provider open decisions,"Answer PROVIDER.md open decisions (assignment model, company vs individual, payout rails, rating impact)",Docs,P3,,Todo
T145,Phase 8 - Provider (Deferred),Provider,Provider schema,"Identity, KYC, skills, service areas, availability, capacity tables per PROVIDER.md",Database,P3,T144,Todo
T146,Phase 8 - Provider (Deferred),Provider,Provider auth and onboarding,"Registration, OTP login, KYC document submission and verification workflow",Backend,P3,T145,Todo
T147,Phase 8 - Provider (Deferred),Provider,Assignment bridge,booking_provider_assignment + admin assignment API; single nullable AssignedProviderId on booking,Backend,P3,"T145,T115",Todo
T148,Phase 8 - Provider (Deferred),Provider,Provider earnings and payouts,Append-only earning ledger + payout batch processing per PROVIDER.md,Backend,P3,T147,Todo
T149,Phase 8 - Provider (Deferred),Provider,provider-api scaffold,"New backend/provider-api project mirroring existing API structure: jobs, availability, earnings endpoints",Backend,P3,T146,Todo
T150,Phase 8 - Provider (Deferred),Provider,Admin provider management,"Provider CRUD, KYC approval, performance view + Provider/Payout RBAC modules",Backend,P3,"T146,T096",Todo
T151,Phase 8 - Provider (Deferred),Provider,Provider-facing UI,Provider portal or app for jobs/availability/earnings (platform TBD),Frontend,P3,T149,Todo
T152,Phase 7 - Hardening & Launch,Infrastructure,Decouple shared DI option validation per API,"Fixed: AddInfrastructure() in backend/shared/Infrastructure/DependencyInjection.cs no longer calls ValidateOnStart() on JwtOptions/SandboxGatewayOptions - matches the lazy-validation pattern already used for AdminJwtOptions/ProviderJwtOptions, since provider-api resolves neither. Removed the now-unneeded dev-only Jwt/PaymentGateway placeholder sections from provider-api's appsettings.Development.json.",Backend,P2,,Done
T153,Phase 7 - Hardening & Launch,Frontend,Investigate admin-web login submit event handling,"Investigated: admin-web/src/app/login/page.tsx is a standard react-hook-form + native <button type=submit>, no wrapping div/overlay/custom handler that would explain a missed click. No code defect found; the earlier failure is most consistent with a hydration-timing race in the browser-automation tool's synthetic click (dispatched before React attached listeners), not a shipped bug. No fix applied.",Frontend,P2,,Done
T154,Phase 8 - Provider (Deferred),Provider,Fix jobs list response-shape mismatch,"Fixed: jobs-api.ts/jobs-types.ts now match the real paginated envelope ({items:[...]}) and field names (assignmentId/bookingId/snapshots) from ProviderJobContracts.cs. Also found and fixed while verifying: JobStatus was typed as a string union but provider-api has no JsonStringEnumConverter (same as consumer-api/admin-api - confirmed via customer-web's BookingStatus doc comment, the established project convention), so status came over the wire as a raw ordinal (0) - every job.status === \"Assigned\"-style comparison silently never matched, hiding the Accept/Reject/Start/Complete buttons entirely. Converted JobStatus to a numeric enum mirroring ProviderJobStatus's declaration order plus a local jobStatusLabel() map, matching customer-web's pattern. Also fixed SubmitCompletionProofRequest's field name (fileRef -> proofRef) to match UploadJobCompletionProofRequest. Verified end-to-end in-browser: list, detail, and Accept transition all work. Reconciling T147/T148's stale Todo status is still open.",Frontend,P2,T149,Done
T155,Phase 8 - Provider (Deferred),Provider,Fix earnings response-shape mismatch,"Fixed: provider-web's /earnings page crashed with 'TypeError: Cannot read properties of undefined (reading toFixed)' -- frontend/provider-web/src/lib/earnings-types.ts EarningsSummary assumed totalEarned/pendingPayout fields that don't exist on the real backend response (ProviderEarningsSummaryResponse only has currentBalance + entries); listPayouts() also assumed a bare array but the backend returns a paginated wrapper ({items, totalCount, page, pageSize}), same class of bug as T154. Rewrote earnings-types.ts/earnings-api.ts to match the real ProviderEarningsSummaryResponse/ProviderEarningLedgerEntryResponse/ProviderPayoutSearchResponse/ProviderPayoutResponse contracts exactly (including numeric PayoutStatus/EarningEntryType/EarningSourceType enums, no JsonStringEnumConverter registered - same convention as JobStatus). SummarySection now shows the one real stat (Current balance) instead of two fabricated ones. Added payoutStatusLabel() for display. Verified end-to-end in-browser: summary/ledger/payouts all render correctly with no crash.",Frontend,P2,T149,Done
T156,Phase 11 - Nestly Coins & Loyalty,NestlyCoins,Resolve Nestly Coins open decisions,"Close docs/NESTLY-COINS.md's OPEN DECISIONS (first-order vs 2nd+ order qualification, cross-category reorder counting) and confirm task #175's wallet FIFO consumption-tracking prerequisite before expiry logic is built - see NESTLY-COINS.md GUIDELINES #3.",Docs,P2,,Todo
T157,Phase 11 - Nestly Coins & Loyalty,NestlyCoins,Nestly Coins schema and enum additions,"nestly_coins_program_config table (per-audience earn rate/minimum/require-reorder/cap/expiry/clawback) + new WalletSourceType.NestlyCoinsReward and ProviderEarningSourceType.NestlyCoinsReward enum members on the existing Wallet/ProviderEarningLedger entities - no new balance tables, per NESTLY-COINS.md's reuse-don't-duplicate principle.",Database,P2,T156,Todo
